Page path and screen class,Sessions,Engaged sessions,Engagement rate,Average session duration
/multidisciplinary-studies/lgbtq-studies-0/people,57,37,0.6491228070175439,96.82789924561403
/lgbtq/chosen-vs-legal-name-communications,55,35,0.6363636363636364,136.45383701818182
/lgbtq/event/drag-race-5k,53,33,0.6226415094339622,60.21867388679246
/lgbtq/selective-service-requirement,53,44,0.8301886792452831,88.60950941509434
/lgbtq/what-asexuality-resource-guide,53,42,0.7924528301886793,158.67939860377356
/multidisciplinary-studies/lgbtq-studies-0/history,52,28,0.5384615384615384,153.03698519230767
/lgbtq/event/lgbtq-fall-semester-kick-0,51,43,0.8431372549019608,129.74171229411763
/lgbtq/archived-programs,48,30,0.625,31.286221249999997
/lgbtq/lgbt-studies-minor,48,35,0.7291666666666666,119.57042604166666
/lgbtq/flashes-pride,47,40,0.85106383,61.09158491489362
/lgbtq/parents-and-families,47,30,0.6382978723404256,67.82930204255318
